ticker,year,month,rows,eligible,both_valid
QQQ,2022,202208,29,0.9310344827586207,0.9310344827586207
QQQ,2022,202209,19,0.9473684210526315,0.9473684210526315
QQQ,2022,202210,19,1.0,1.0
QQQ,2022,202211,66,0.9090909090909091,0.9090909090909091
QQQ,2022,202212,64,0.9375,0.9375
QQQ,2023,202301,48,0.9166666666666666,0.9166666666666666
QQQ,2023,202302,46,0.9782608695652174,0.9782608695652174
QQQ,2023,202303,51,0.9215686274509803,0.9215686274509803
QQQ,2023,202304,100,0.96,0.96
QQQ,2023,202305,97,0.9381443298969072,0.9381443298969072
QQQ,2023,202306,89,0.9438202247191011,0.9438202247191011
QQQ,2023,202307,64,0.96875,0.96875
QQQ,2023,202308,74,0.9594594594594594,0.9594594594594594
QQQ,2023,202309,92,0.9456521739130435,0.9456521739130435
QQQ,2023,202310,75,0.9466666666666667,0.9466666666666667
QQQ,2023,202311,70,0.9428571428571428,0.9285714285714286
QQQ,2023,202312,81,0.9012345679012346,0.9012345679012346
QQQ,2024,202401,127,0.9291338582677166,0.9291338582677166
QQQ,2024,202402,100,0.94,0.91
QQQ,2024,202403,70,0.9571428571428572,0.9571428571428572
QQQ,2024,202404,112,0.9375,0.9375
QQQ,2024,202405,106,0.8867924528301887,0.8867924528301887
QQQ,2024,202406,64,0.921875,0.921875
QQQ,2024,202407,88,0.9318181818181818,0.9318181818181818
QQQ,2024,202408,67,0.9104477611940298,0.9104477611940298
QQQ,2024,202409,94,0.9680851063829787,0.9680851063829787
QQQ,2024,202410,122,0.9016393442622951,0.9016393442622951
QQQ,2024,202411,92,0.9130434782608695,0.9130434782608695
QQQ,2024,202412,100,0.93,0.93
QQQ,2025,202501,67,0.9402985074626866,0.9402985074626866
QQQ,2025,202502,78,0.9230769230769231,0.9230769230769231
QQQ,2025,202503,59,0.9322033898305084,0.9322033898305084
QQQ,2025,202504,48,0.9791666666666666,0.9791666666666666
QQQ,2025,202505,54,0.9629629629629629,0.9629629629629629
QQQ,2025,202506,98,0.9183673469387755,0.9183673469387755
QQQ,2025,202507,97,0.9175257731958762,0.9175257731958762
QQQ,2025,202508,79,0.9367088607594937,0.9367088607594937
QQQ,2025,202509,75,0.8933333333333333,0.8933333333333333
QQQ,2025,202510,82,0.9024390243902439,0.9024390243902439
QQQ,2025,202511,54,0.9629629629629629,0.9629629629629629
QQQ,2025,202512,79,0.9620253164556962,0.9620253164556962
SPXW,2022,202208,115,0.9478260869565217,0.9478260869565217
SPXW,2022,202209,44,0.9090909090909091,0.9090909090909091
SPXW,2022,202210,35,0.9142857142857143,0.9142857142857143
SPXW,2022,202211,61,0.9672131147540983,0.9672131147540983
SPXW,2022,202212,65,0.9230769230769231,0.9230769230769231
SPXW,2023,202301,37,0.8918918918918919,0.8918918918918919
SPXW,2023,202302,35,0.9428571428571428,0.9428571428571428
SPXW,2023,202303,40,0.95,0.95
SPXW,2023,202304,81,0.9753086419753086,0.9753086419753086
SPXW,2023,202305,95,0.8736842105263158,0.8736842105263158
SPXW,2023,202306,133,0.9473684210526315,0.9473684210526315
SPXW,2023,202307,87,0.9195402298850575,0.9195402298850575
SPXW,2023,202308,89,0.9438202247191011,0.9438202247191011
SPXW,2023,202309,117,0.8974358974358975,0.8974358974358975
SPXW,2023,202310,131,0.9312977099236641,0.9312977099236641
