ticker,date,month,decision,trigger_reasons,pause_days_set,loss_streak_before,loss_streak_after,day_trades,day_pnl_return,volume_protected,month_count_after,month_count_before_guard_check,month_required_by_date,pause_remaining_before,month_count_before
QQQ,20260102,202601,TRADE,,0.0,0,0.0,2,0.2,False,2.0,2.0,2,,
QQQ,20260105,202601,TRADE,,0.0,0,1.0,2,-0.6,False,4.0,4.0,3,,
QQQ,20260106,202601,TRADE,,0.0,1,2.0,1,-0.3,False,5.0,5.0,4,,
QQQ,20260107,202601,TRADE,,0.0,2,3.0,1,-0.3,False,6.0,6.0,5,,
QQQ,20260108,202601,TRADE,,0.0,3,0.0,1,0.5,False,7.0,7.0,5,,
QQQ,20260109,202601,TRADE,,0.0,0,1.0,1,-0.3,False,8.0,8.0,6,,
QQQ,20260112,202601,TRADE,,0.0,1,2.0,1,-0.3,False,9.0,9.0,7,,
QQQ,20260113,202601,TRADE,,0.0,2,0.0,1,0.5,False,10.0,10.0,8,,
QQQ,20260114,202601,TRADE,,0.0,0,0.0,1,0.5,False,11.0,11.0,9,,
QQQ,20260116,202601,TRADE,,0.0,0,0.0,1,0.5,False,12.0,12.0,10,,
QQQ,20260120,202601,TRADE,,0.0,0,1.0,1,-0.3,False,13.0,13.0,12,,
QQQ,20260121,202601,TRADE,,0.0,1,2.0,1,-0.3,False,14.0,14.0,13,,
QQQ,20260122,202601,TRADE,,0.0,2,0.0,1,0.5,False,15.0,15.0,14,,
QQQ,20260123,202601,TRADE,,0.0,0,1.0,1,-0.3,False,16.0,16.0,14,,
QQQ,20260126,202601,TRADE,,0.0,1,2.0,1,-0.3,False,17.0,17.0,15,,
QQQ,20260127,202601,TRADE,,0.0,2,3.0,1,-0.3,False,18.0,18.0,16,,
QQQ,20260128,202601,TRADE,,0.0,3,0.0,1,0.5,False,19.0,19.0,17,,
QQQ,20260129,202601,TRADE,,0.0,0,0.0,1,0.5,False,20.0,20.0,18,,
QQQ,20260130,202601,TRADE,,0.0,0,0.0,1,0.5,False,21.0,21.0,18,,
QQQ,20260202,202602,TRADE,,0.0,0,0.0,1,0.5,False,1.0,1.0,1,,
QQQ,20260203,202602,TRADE,,0.0,0,0.0,1,0.5,False,2.0,2.0,2,,
QQQ,20260204,202602,TRADE,,0.0,0,0.0,1,0.5,False,3.0,3.0,3,,
QQQ,20260205,202602,TRADE,,0.0,0,0.0,1,0.5,False,4.0,4.0,4,,
QQQ,20260206,202602,TRADE,,0.0,0,0.0,1,0.5,False,5.0,5.0,5,,
QQQ,20260209,202602,TRADE,,0.0,0,1.0,1,-0.3,False,6.0,6.0,6,,
QQQ,20260210,202602,TRADE,,0.0,1,2.0,1,-0.3,False,7.0,7.0,7,,
QQQ,20260211,202602,TRADE,,0.0,2,0.0,1,0.5,False,8.0,8.0,8,,
QQQ,20260212,202602,TRADE,,0.0,0,0.0,1,0.5,False,9.0,9.0,9,,
QQQ,20260213,202602,TRADE,,0.0,0,1.0,1,-0.3,False,10.0,10.0,9,,
QQQ,20260217,202602,TRADE,,0.0,1,0.0,1,0.5,False,11.0,11.0,11,,
QQQ,20260218,202602,TRADE,,0.0,0,0.0,2,1.0,False,13.0,13.0,12,,
QQQ,20260219,202602,TRADE,,0.0,0,1.0,1,-0.3,False,14.0,14.0,13,,
QQQ,20260220,202602,TRADE,,0.0,1,2.0,1,-0.3,False,15.0,15.0,14,,
QQQ,20260223,202602,TRADE,,0.0,2,0.0,1,0.5,False,16.0,16.0,15,,
QQQ,20260224,202602,TRADE,,0.0,0,1.0,1,-0.3,False,17.0,17.0,16,,
QQQ,20260225,202602,TRADE,,0.0,1,2.0,1,-0.3,False,18.0,18.0,17,,
QQQ,20260226,202602,TRADE,,0.0,2,0.0,1,0.5,False,19.0,19.0,18,,
QQQ,20260227,202602,TRADE,,0.0,0,0.0,1,0.5,False,20.0,20.0,18,,
QQQ,20260302,202603,TRADE,,0.0,0,1.0,1,-0.3,False,1.0,1.0,1,,
QQQ,20260303,202603,TRADE,,0.0,1,0.0,1,0.5,False,2.0,2.0,2,,
QQQ,20260304,202603,TRADE,,0.0,0,1.0,1,-0.3,False,3.0,3.0,3,,
QQQ,20260305,202603,TRADE,,0.0,1,0.0,1,0.5,False,4.0,4.0,4,,
QQQ,20260306,202603,TRADE,,0.0,0,0.0,2,0.2,False,6.0,6.0,5,,
QQQ,20260309,202603,TRADE,,0.0,0,1.0,1,-0.3,False,7.0,7.0,5,,
QQQ,20260310,202603,TRADE,,0.0,1,0.0,1,0.5,False,8.0,8.0,6,,
QQQ,20260311,202603,TRADE,,0.0,0,0.0,1,0.5,False,9.0,9.0,7,,
QQQ,20260312,202603,TRADE,,0.0,0,1.0,1,-0.3,False,10.0,10.0,8,,
QQQ,20260313,202603,TRADE,,0.0,1,0.0,1,0.5,False,11.0,11.0,9,,
QQQ,20260316,202603,TRADE,,0.0,0,1.0,1,-0.3,False,12.0,12.0,9,,
QQQ,20260317,202603,TRADE,,0.0,1,2.0,1,-0.3,False,13.0,13.0,10,,
QQQ,20260318,202603,TRADE,,0.0,2,0.0,1,0.5,False,14.0,14.0,11,,
QQQ,20260319,202603,TRADE,,0.0,0,0.0,1,0.5,False,15.0,15.0,12,,
QQQ,20260320,202603,TRADE,,0.0,0,1.0,1,-0.3,False,16.0,16.0,13,,
QQQ,20260323,202603,TRADE,,0.0,1,2.0,1,-0.3,False,17.0,17.0,14,,
QQQ,20260324,202603,TRADE,,0.0,2,0.0,1,0.5,False,18.0,18.0,14,,
QQQ,20260325,202603,TRADE,,0.0,0,0.0,1,0.5,False,19.0,19.0,15,,
QQQ,20260326,202603,TRADE,,0.0,0,1.0,1,-0.3,False,20.0,20.0,16,,
QQQ,20260327,202603,TRADE,,0.0,1,0.0,1,0.5,False,21.0,21.0,17,,
