ticker,month,test_month,train_months,train_month_max,first_val_month,val_months,val_month_max,deploy_config,train_rows,val_rows,test_rows,val_score,abstained_invalid_val,val_trades,val_win_rate,val_profit_factor,val_pnl_return,val_avg_return,val_max_drawdown,val_call_rate,val_days_with_trades,val_daily_win_rate,val_median_daily_return,val_daily_max_drawdown,val_top5_day_return,val_top5_share_of_pnl,val_min_month_trades,val_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate
SPXW,202601,202601,"202501,202502,202503,202504,202505,202506",202506,202507,"202507,202508,202509,202510,202511,202512",202512,thr0.244_maxday1,4362,4797,779,5.184980753996555,False,60,0.45,1.387479978185145,3.7701298669128884,0.06283549778188148,-2.429870133087112,0.6333333333333333,60,0.45,-0.3,-2.429870133087112,2.5,0.6631071311204156,4,0.8333333333333334,9,0.3333333333333333,0.8333333333333333,-0.29999999999999993,-0.033333333333333326,-1.8,0.7777777777777778,9,0.3333333333333333,-0.3,-1.8,0.8999999999999999,-3.0000000000000004,9,0.0
SPXW,202602,202602,"202501,202502,202503,202504,202505,202506,202507",202507,202508,"202508,202509,202510,202511,202512,202601",202601,thr0.500_maxday1,5225,4713,616,4.195996987149387,False,60,0.38333333333333336,1.056189389360837,0.6118012395870321,0.010196687326450536,-1.8881987604129682,0.05,60,0.38333333333333336,-0.3,-1.8881987604129682,2.5,4.086294433936597,6,0.5,10,0.3,0.7142857142857143,-0.5999999999999999,-0.059999999999999984,-0.9999999999999999,0.1,10,0.3,-0.3,-0.9999999999999999,0.8999999999999999,-1.5000000000000002,10,0.0
SPXW,202603,202603,"202501,202502,202503,202504,202505,202506,202507,202508",202508,202509,"202509,202510,202511,202512,202601,202602",202602,thr0.009_maxday2,6003,4551,793,6.459929583160653,False,240,0.43333333333333335,1.268302777626907,10.946753327177799,0.04561147219657416,-2.799999999999998,0.6958333333333333,122,0.6885245901639344,0.2,-2.799999999999998,5.0,0.45675643275768035,37,1.0,43,0.23255813953488372,0.5050505050505051,-4.8999999999999995,-0.11395348837209301,-5.399999999999998,0.7906976744186046,22,0.4090909090909091,-0.6,-5.1,1.7999999999999998,-0.3673469387755102,43,0.0
SPXW,202604,202604,"202501,202502,202503,202504,202505,202506,202507,202508,202509",202509,202510,"202510,202511,202512,202601,202602,202603",202603,thr0.051_maxday1,6817,4530,793,6.061369832482417,False,119,0.46218487394957986,1.443239058209008,8.44563763114462,0.07097174479953462,-2.254362368855376,0.5042016806722689,119,0.46218487394957986,-0.3,-2.254362368855376,2.5,0.29601080571831023,18,0.8333333333333334,18,0.3888888888888889,1.0606060606060608,0.20000000000000012,0.011111111111111118,-1.2000000000000002,0.3888888888888889,18,0.3888888888888889,-0.3,-1.2000000000000002,2.5,12.499999999999993,18,1.0
SPXW,202605,202605,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510",202510,202511,"202511,202512,202601,202602,202603,202604",202604,thr-0.029_maxday1,7669,4471,783,6.500679989628086,False,117,0.49572649572649574,1.638418079096045,11.299999999999997,0.09658119658119656,-2.6000000000000005,0.42735042735042733,117,0.49572649572649574,-0.3,-2.6000000000000005,2.5,0.2212389380530974,18,0.8333333333333334,20,0.45,1.363636363636364,1.2,0.06,-1.5999999999999994,0.35,20,0.45,-0.3,-1.5999999999999994,2.5,2.0833333333333335,20,1.0
SPXW,202606,202606,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511",202511,202512,"202512,202601,202602,202603,202604,202605",202605,thr-0.229_maxday2,8317,4606,736,6.385052180481424,False,246,0.44308943089430897,1.326034063260341,13.399999999999999,0.05447154471544715,-3.9999999999999964,0.35772357723577236,124,0.6774193548387096,0.2,-3.3999999999999977,5.0,0.373134328358209,36,0.8333333333333334,39,0.46153846153846156,1.4285714285714288,2.700000000000001,0.06923076923076926,-1.9999999999999982,0.3333333333333333,20,0.75,0.2,-1.6999999999999997,3.4000000000000004,1.2592592592592589,39,1.0
QQQ,202601,202601,"202501,202502,202503,202504,202505,202506",202506,202507,"202507,202508,202509,202510,202511,202512",202512,thr0.089_maxday3,3974,4521,692,5.9787016621711615,False,117,0.4444444444444444,1.3333333333333333,6.500000000000001,0.055555555555555566,-1.7999999999999994,0.29914529914529914,61,0.4918032786885246,-0.09999999999999998,-1.7999999999999994,6.0,0.9230769230769229,16,1.0,14,0.2857142857142857,0.6666666666666667,-1.0,-0.07142857142857142,-1.9,0.5714285714285714,8,0.125,-0.19999999999999998,-1.4,-0.09999999999999992,0.09999999999999992,14,0.0
QQQ,202602,202602,"202501,202502,202503,202504,202505,202506,202507",202507,202508,"202508,202509,202510,202511,202512,202601",202601,thr0.383_maxday1,4771,4416,550,3.791531656473033,False,118,0.3728813559322034,0.9903822723355971,-0.2135135541497437,-0.0018094368995740992,-4.5135135541497435,0.1694915254237288,118,0.3728813559322034,-0.3,-4.5135135541497435,2.5,-11.708858531045163,16,0.5,15,0.4,1.1111111111111112,0.2999999999999999,0.019999999999999993,-0.9000000000000001,0.26666666666666666,15,0.4,-0.3,-0.9000000000000001,2.5,8.333333333333337,15,1.0
QQQ,202603,202603,"202501,202502,202503,202504,202505,202506,202507,202508",202508,202509,"202509,202510,202511,202512,202601,202602",202602,thr0.300_maxday1,5526,4211,765,5.625615126547652,False,60,0.48333333333333334,1.6070529005639722,5.477272748823994,0.09128787914706657,-2.4000000000000004,0.31666666666666665,60,0.48333333333333334,-0.16136362558800318,-2.4000000000000004,2.5,0.45643153347380155,6,0.8333333333333334,11,0.2727272727272727,0.625,-0.8999999999999999,-0.0818181818181818,-1.0999999999999999,0.8181818181818182,11,0.2727272727272727,-0.3,-1.0999999999999999,0.8999999999999999,-1.0,11,0.0
QQQ,202604,202604,"202501,202502,202503,202504,202505,202506,202507,202508,202509",202509,202510,"202510,202511,202512,202601,202602,202603",202603,thr0.065_maxday2,6323,4179,637,5.667459809806898,False,241,0.4149377593360996,1.182033096926714,7.699999999999999,0.031950207468879666,-2.9000000000000004,0.44398340248962653,123,0.6422764227642277,0.2,-2.6,5.0,0.6493506493506495,37,0.6666666666666666,36,0.3888888888888889,1.0606060606060608,0.4000000000000002,0.011111111111111117,-2.6,0.3333333333333333,18,0.6111111111111112,0.2,-2.6,3.4000000000000004,8.499999999999996,36,1.0
