kind,ticker,trade_date,path,sha256,actual_sha256,match
option_greeks,QQQ,20260102,D:\ThetaData\data_options\QQQ\greeks\2026\01\QQQ_20260109_20260102_greeks.parquet,fd4beed0c2799bf05471bb7490bdbf12298b50d55fc8c3670b5b283694a919bc,fd4beed0c2799bf05471bb7490bdbf12298b50d55fc8c3670b5b283694a919bc,True
option_greeks,QQQ,20260102,D:\ThetaData\data_options\QQQ\greeks\2026\01\QQQ_20260102_20260102_greeks.parquet,998d6c491162f25aee647b9ed4a6ac257f0e1bac1643dd937f3e3443c6ce9184,998d6c491162f25aee647b9ed4a6ac257f0e1bac1643dd937f3e3443c6ce9184,True
option_greeks,QQQ,20260105,D:\ThetaData\data_options\QQQ\greeks\2026\01\QQQ_20260109_20260105_greeks.parquet,46a4f0fa899cc4cbd39bd9ae5ca360bf8e23bb7bfadbb5817ed7d0848f3fa219,46a4f0fa899cc4cbd39bd9ae5ca360bf8e23bb7bfadbb5817ed7d0848f3fa219,True
option_greeks,QQQ,20260105,D:\ThetaData\data_options\QQQ\greeks\2026\01\QQQ_20260105_20260105_greeks.parquet,f8277a3b868bd02d17acfd32ce6baa88b094ecde577ab491d15a4c4e2fe361f9,f8277a3b868bd02d17acfd32ce6baa88b094ecde577ab491d15a4c4e2fe361f9,True
option_greeks,QQQ,20260106,D:\ThetaData\data_options\QQQ\greeks\2026\01\QQQ_20260109_20260106_greeks.parquet,765aa7f7d4f90a3d4f1b07da4b887d7b9fb90e593da2c987900dfcb320368224,765aa7f7d4f90a3d4f1b07da4b887d7b9fb90e593da2c987900dfcb320368224,True
option_greeks,QQQ,20260106,D:\ThetaData\data_options\QQQ\greeks\2026\01\QQQ_20260106_20260106_greeks.parquet,dc2fbbacb38a0695dae4beb5cf3338ea5249d5e6388f2d26d92d6f3c605b8cae,dc2fbbacb38a0695dae4beb5cf3338ea5249d5e6388f2d26d92d6f3c605b8cae,True
option_greeks,QQQ,20260107,D:\ThetaData\data_options\QQQ\greeks\2026\01\QQQ_20260109_20260107_greeks.parquet,096bbfc24bd62c8c352e66fae47b0a575350dc20cdcb081b8d2a3348c93a9eab,096bbfc24bd62c8c352e66fae47b0a575350dc20cdcb081b8d2a3348c93a9eab,True
option_greeks,QQQ,20260107,D:\ThetaData\data_options\QQQ\greeks\2026\01\QQQ_20260107_20260107_greeks.parquet,a4e5a68d78d844a73c3efd38928e16712ce20c74bb2114ad4a8d2298eeefa345,a4e5a68d78d844a73c3efd38928e16712ce20c74bb2114ad4a8d2298eeefa345,True
option_greeks,QQQ,20260108,D:\ThetaData\data_options\QQQ\greeks\2026\01\QQQ_20260109_20260108_greeks.parquet,b036ab674589469fa30cfa6e560492f3b894ff56da2ba5702a9306ce0d26a1cc,b036ab674589469fa30cfa6e560492f3b894ff56da2ba5702a9306ce0d26a1cc,True
option_greeks,QQQ,20260108,D:\ThetaData\data_options\QQQ\greeks\2026\01\QQQ_20260108_20260108_greeks.parquet,919bd9b160a9999dc856be8ff209eddb23dc904d262b0ce999feda05d5d072ea,919bd9b160a9999dc856be8ff209eddb23dc904d262b0ce999feda05d5d072ea,True
