ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_result,variant,selected_variant,pair_score,oos_source_period
QQQ,20240102,202401,10:40,640,front_weekly,PUT,0.1059281525483431,-0.1019606219127733,0.1059281525483431,0.0464021882560812,-0.1504000091552734,-0.1504000091552734,thr0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,d80,d80,3.679258435289068,2024validate
QQQ,20240102,202401,11:10,670,front_weekly,PUT,0.1080582842189003,-0.1071258182407687,0.1080582842189003,-0.0930393080754458,0.2566225497556682,0.2566225497556682,thr0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,d80,d80,3.679258435289068,2024validate
QQQ,20240102,202401,12:50,770,front_weekly,PUT,0.1324646643977423,-0.1295097738199162,0.1324646643977423,-0.2857142857142857,0.3451476547397956,0.3451476547397956,thr0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,d80,d80,3.679258435289068,2024validate
QQQ,20240102,202401,13:20,800,front_weekly,PUT,0.1259400803149577,-0.1267161643378041,0.1259400803149577,-0.03587447621862,0.1157167669616907,0.1157167669616907,thr0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,d80,d80,3.679258435289068,2024validate
QQQ,20240102,202401,13:50,830,front_weekly,PUT,0.0741072913389413,-0.0606619371266893,0.0741072913389413,-0.0351533830311527,0.0875420834877636,0.0875420834877636,thr0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,d80,d80,3.679258435289068,2024validate
QQQ,20240102,202401,14:20,860,front_weekly,PUT,0.053865728245121,-0.0452075377986153,0.053865728245121,0.0819911699953401,-0.1061946715938151,-0.1061946715938151,thr0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,d80,d80,3.679258435289068,2024validate
QQQ,20240102,202401,14:50,890,front_weekly,PUT,0.0625388889710076,-0.0471467712923735,0.0625388889710076,0.037307990200107,-0.1522124104421766,-0.1522124104421766,thr0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,d80,d80,3.679258435289068,2024validate
QQQ,20240102,202401,15:20,920,front_weekly,PUT,0.0638559077472827,-0.042428865249726,0.0638559077472827,0.1913625939259113,-0.2398268754995952,-0.2398268754995952,thr0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,d80,d80,3.679258435289068,2024validate
QQQ,20240103,202401,10:35,635,front_weekly,PUT,0.0364981456668865,-0.0323683858441622,0.0364981456668865,0.0389817216597985,-0.0639480614293536,-0.0639480614293536,thr0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,d80,d80,3.679258435289068,2024validate
QQQ,20240103,202401,11:25,685,zero_dte,PUT,0.1033371190634827,-0.1435668363409877,0.1033371190634827,-0.3,0.0239999771118164,0.0239999771118164,thr0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,d80,d80,3.679258435289068,2024validate
