block,ticker,trade_date,month,sensor_ticker,signal_pressure,base_side,underlying_return_bps,base_gross_bps,direct_win,direct_probability,orientation,side,gross_bps,net_bps_1bp,net_bps_2bp,net_bps_3bp,net_bps
DEV_A,QQQ,20240102,202401,QQQ,0.003049999999999997,1,23.845611040772944,23.845611040772944,1,0.5397228405532996,1,1,23.845611040772944,22.845611040772944,21.845611040772944,20.845611040772944,22.845611040772944
DEV_A,QQQ,20240103,202401,QQQ,-0.0014499999999999513,-1,-5.260718835707871,5.260718835707871,1,0.6161919797746027,1,-1,5.260718835707871,4.260718835707871,3.2607188357078707,2.2607188357078707,4.260718835707871
DEV_A,QQQ,20240104,202401,QQQ,-0.0016999999999999515,-1,8.291770265392378,-8.291770265392378,0,0.41808881588312424,-1,1,8.291770265392378,7.291770265392378,6.291770265392378,5.291770265392378,7.291770265392378
DEV_A,QQQ,20240105,202401,QQQ,-0.008199999999999985,-1,-44.20451754171696,44.20451754171696,1,0.42058504227798266,-1,1,-44.20451754171696,-45.20451754171696,-46.20451754171696,-47.20451754171696,-45.20451754171696
DEV_A,QQQ,20240108,202401,QQQ,0.0009499999999999786,1,38.29612021303859,38.29612021303859,1,0.46385257140426084,-1,-1,-38.29612021303859,-39.29612021303859,-40.29612021303859,-41.29612021303859,-39.29612021303859
DEV_A,QQQ,20240109,202401,QQQ,0.003799999999999998,1,46.74350331539401,46.74350331539401,1,0.4148398493854263,-1,-1,-46.74350331539401,-47.74350331539401,-48.74350331539401,-49.74350331539401,-47.74350331539401
DEV_A,QQQ,20240110,202401,QQQ,-0.004349999999999965,-1,30.4466559751201,-30.4466559751201,0,0.4638964294780222,-1,1,30.4466559751201,29.4466559751201,28.4466559751201,27.4466559751201,29.4466559751201
DEV_A,QQQ,20240111,202401,QQQ,0.00635000000000005,1,10.307255256303185,10.307255256303185,1,0.6687361715335732,1,1,10.307255256303185,9.307255256303185,8.307255256303185,7.3072552563031845,9.307255256303185
DEV_A,QQQ,20240112,202401,QQQ,0.0008500000000000452,1,-4.883289480771614,-4.883289480771614,0,0.5768635786496555,1,1,-4.883289480771614,-5.883289480771614,-6.883289480771614,-7.883289480771614,-5.883289480771614
DEV_A,QQQ,20240116,202401,QQQ,-0.005399999999999933,-1,-30.520954947253877,30.520954947253877,1,0.45424319046603434,-1,1,-30.520954947253877,-31.520954947253877,-32.52095494725388,-33.52095494725388,-31.520954947253877
DEV_A,QQQ,20240117,202401,QQQ,-0.0007500000000000284,-1,15.583455011887605,-15.583455011887605,0,0.46174468835322235,-1,1,15.583455011887605,14.583455011887605,13.583455011887605,12.583455011887605,14.583455011887605
DEV_A,QQQ,20240118,202401,QQQ,0.0010999999999999899,1,-38.70360100795044,-38.70360100795044,0,0.5543292170603439,1,1,-38.70360100795044,-39.70360100795044,-40.70360100795044,-41.70360100795044,-39.70360100795044
DEV_A,QQQ,20240119,202401,QQQ,0.0003500000000000447,1,88.6275802213966,88.6275802213966,1,0.5191356884864806,1,1,88.6275802213966,87.6275802213966,86.6275802213966,85.6275802213966,87.6275802213966
DEV_A,QQQ,20240122,202401,QQQ,0.005149999999999988,1,-14.69751829150437,-14.69751829150437,0,0.4918283718065589,-1,-1,14.69751829150437,13.69751829150437,12.69751829150437,11.69751829150437,13.69751829150437
DEV_A,QQQ,20240123,202401,QQQ,-0.0007500000000000007,-1,8.769955171655086,-8.769955171655086,0,0.49778482984986294,-1,1,8.769955171655086,7.769955171655086,6.769955171655086,5.769955171655086,7.769955171655086
DEV_A,QQQ,20240124,202401,QQQ,-0.00739999999999999,-1,6.302447659043235,-6.302447659043235,0,0.5292252815805547,1,-1,-6.302447659043235,-7.302447659043235,-8.302447659043235,-9.302447659043235,-7.302447659043235
DEV_A,QQQ,20240125,202401,QQQ,-0.001749999999999946,-1,-44.07358972289277,44.07358972289277,1,0.5309415681793918,1,-1,44.07358972289277,43.07358972289277,42.07358972289277,41.07358972289277,43.07358972289277
DEV_A,QQQ,20240126,202401,QQQ,-0.00140000000000004,-1,-27.55114596420581,27.55114596420581,1,0.6363760176810447,1,-1,27.55114596420581,26.55114596420581,25.55114596420581,24.55114596420581,26.55114596420581
DEV_A,QQQ,20240129,202401,QQQ,0.002700000000000008,1,34.139770636085,34.139770636085,1,0.57871282122111,1,1,34.139770636085,33.139770636085,32.139770636085,31.139770636084997,33.139770636085
DEV_A,QQQ,20240130,202401,QQQ,-0.0022499999999999465,-1,-35.66069845160379,35.66069845160379,1,0.6458631520332341,1,-1,35.66069845160379,34.66069845160379,33.66069845160379,32.66069845160379,34.66069845160379
DEV_A,QQQ,20240131,202401,QQQ,0.0030000000000000027,1,41.94976953913708,41.94976953913708,1,0.5013332822433202,1,1,41.94976953913708,40.94976953913708,39.94976953913708,38.94976953913708,40.94976953913708
DEV_A,QQQ,20240201,202402,QQQ,0.0024500000000000632,1,16.411187072341605,16.411187072341605,1,0.4492758930942422,-1,-1,-16.411187072341605,-17.411187072341605,-18.411187072341605,-19.411187072341605,-17.411187072341605
DEV_A,QQQ,20240202,202402,QQQ,0.005850000000000105,1,74.21749021737504,74.21749021737504,1,0.5497506977813119,1,1,74.21749021737504,73.21749021737504,72.21749021737504,71.21749021737504,73.21749021737504
DEV_A,QQQ,20240205,202402,QQQ,0.003099999999999964,1,44.21214963504775,44.21214963504775,1,0.5030469417959904,1,1,44.21214963504775,43.21214963504775,42.21214963504775,41.21214963504775,43.21214963504775
