ticker,month,profile,delta_bucket,label_mode,expiry_modes,train_scope,train_tickers,training_months,val_months,selection_months,cooldown_minutes,train_rows,val_rows,test_rows,feature_count,status,val_score,deploy_config,policy_artifact_path,policy_artifact_sha256,model_artifact_path,model_artifact_sha256,val_trades,val_win_rate,val_profit_factor,val_pnl_return,val_avg_return,val_max_drawdown,val_call_rate,val_days_with_trades,val_daily_win_rate,val_median_daily_return,val_daily_max_drawdown,val_top5_day_return,val_top5_share_of_pnl,val_min_month_trades,val_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate,selected
SPXW,202601,target_zero_dte_d25_win,25.0,win,zero_dte,target,SPXW,"202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507,202508,202509","202510,202511,202512","202510,202511,202512",0.0,23582.0,1664.0,520.0,257.0,ok,8.408028492702893,thr0.500_maxday4,research_papers/JEPA/results/_diagnostics/early_causal_noib_d25_win_1m_202601_202605_seed20260618_v2/fold_model_artifacts/202601/SPXW/fold_policy.json,b6941caccf0efa0eea51e3fc3393094b5d2d4cc000d2a1628a9cdd668b42558e,research_papers/JEPA/results/_diagnostics/early_causal_noib_d25_win_1m_202601_202605_seed20260618_v2/fold_model_artifacts/202601/SPXW/event_option_gate_direction_model.pkl,45d7e6d0115b586d312b67428e5f9c8c2423282ac277c162d8693be8157e9871,62.0,0.5645161290322581,2.5345029564503743,22.358778709198518,0.360625463051589,-3.1055354330096367,0.22580645161290322,62.0,0.5645161290322581,0.20130182626040638,-3.1055354330096367,19.66112476962489,0.8793469905194867,18.0,1.0,20,0.4,1.2196921395769158,1.6997861830376977,0.08498930915188488,-5.449534520071541,0.15,20.0,0.4,-0.6079756150964433,-5.449534520071541,8.795501498749264,5.174475229014259,20.0,1.0,True
SPXW,202602,ABSTAIN_NO_VALID_PROFILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,,,,,,False
SPXW,202603,ABSTAIN_NO_VALID_PROFILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,,,,,,False
SPXW,202604,ABSTAIN_NO_VALID_PROFILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,,,,,,False
SPXW,202605,ABSTAIN_NO_VALID_PROFILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,,,,,,False
QQQ,202601,ABSTAIN_NO_VALID_PROFILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,,,,,,False
QQQ,202602,ABSTAIN_NO_VALID_PROFILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,,,,,,False
QQQ,202603,ABSTAIN_NO_VALID_PROFILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,,,,,,False
QQQ,202604,ABSTAIN_NO_VALID_PROFILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,,,,,,False
QQQ,202605,ABSTAIN_NO_VALID_PROFILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,,,,,,False
SPY,202601,ABSTAIN_NO_VALID_PROFILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,,,,,,False
SPY,202602,ABSTAIN_NO_VALID_PROFILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,,,,,,False
SPY,202603,ABSTAIN_NO_VALID_PROFILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,,,,,,False
SPY,202604,ABSTAIN_NO_VALID_PROFILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,,,,,,False
SPY,202605,ABSTAIN_NO_VALID_PROFILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,,,,,,False
