capture_id,ticker,trade_date,role,expiration,kind,path,size_bytes,sha256
8fda43ad194f04734da2bef6,QQQ,20240102,back,20240105,greeks,D:\ThetaData\data_options\QQQ\greeks\2024\01\QQQ_20240105_20240102_greeks.parquet,5483135,faa801f6efdae95ca8c41b17366ed36df3945239c620e5e689b770a61bbd9b1a
8fda43ad194f04734da2bef6,QQQ,20240102,back,20240105,iv,D:\ThetaData\data_options\QQQ\iv\2024\01\QQQ_20240105_20240102_iv.parquet,2254608,4459a2ce7f80db3062be7dab08d1a1818f66ac209a2982f7d9e2008abd85d9dc
173efda820bc2a3397184f9f,QQQ,20240102,front,20240102,greeks,D:\ThetaData\data_options\QQQ\greeks\2024\01\QQQ_20240102_20240102_greeks.parquet,2071844,f7277ca9fa5177f49212edf34e7b970e0fee4d628d843e86e4d300c6b07f8d12
173efda820bc2a3397184f9f,QQQ,20240102,front,20240102,iv,D:\ThetaData\data_options\QQQ\iv\2024\01\QQQ_20240102_20240102_iv.parquet,981761,035d28837414ad7c017be8886d0db3d00cd8a3e47cb70cedd5e09f6d504440b1
abc1357c7572ee077d5ea622,QQQ,20240103,back,20240105,greeks,D:\ThetaData\data_options\QQQ\greeks\2024\01\QQQ_20240105_20240103_greeks.parquet,5179009,7f426e6c4402d4216be54c6b9138309a483c271e8253c4f0d3bd10ad3e278409
abc1357c7572ee077d5ea622,QQQ,20240103,back,20240105,iv,D:\ThetaData\data_options\QQQ\iv\2024\01\QQQ_20240105_20240103_iv.parquet,2209324,bc45500ba92f642e800a3d49de57aa5ae49e358d5bad36e22d931743cb45b32b
b6ff170e6b6358242d4c65ab,QQQ,20240103,front,20240103,greeks,D:\ThetaData\data_options\QQQ\greeks\2024\01\QQQ_20240103_20240103_greeks.parquet,2140028,03b3ef028f41dd3e775cf8f725d1f13ef29ce2ec24e799d41b7a983907de29cd
b6ff170e6b6358242d4c65ab,QQQ,20240103,front,20240103,iv,D:\ThetaData\data_options\QQQ\iv\2024\01\QQQ_20240103_20240103_iv.parquet,1009275,1b0baeb13a0b67570f74564bc99c46ccf2457c42fec8a45435dffcfd62e92922
e414f2586f48bdd20bce952b,QQQ,20240104,back,20240105,greeks,D:\ThetaData\data_options\QQQ\greeks\2024\01\QQQ_20240105_20240104_greeks.parquet,3821834,036a860893a6e8a514e6d793528396020ccf56e162d948e3172fb64c5308fc03
e414f2586f48bdd20bce952b,QQQ,20240104,back,20240105,iv,D:\ThetaData\data_options\QQQ\iv\2024\01\QQQ_20240105_20240104_iv.parquet,1930373,88ffe1b75cbe02f0d8359dac3d43b28af47c1a71eea148fc48cdc74204e274af
19fd891d8a603fde13025fef,QQQ,20240104,front,20240104,greeks,D:\ThetaData\data_options\QQQ\greeks\2024\01\QQQ_20240104_20240104_greeks.parquet,1876239,4928e176f57369d681f0e3c8c956edbf177bd3028036982e5afed8248cdff99f
19fd891d8a603fde13025fef,QQQ,20240104,front,20240104,iv,D:\ThetaData\data_options\QQQ\iv\2024\01\QQQ_20240104_20240104_iv.parquet,966851,9b46b158d8a634112027044c28bbeeec8aae8e0672c010ef7708090b5f1e92ca
876aefd267bc465d0e2b0470,QQQ,20240105,back,20240112,greeks,D:\ThetaData\data_options\QQQ\greeks\2024\01\QQQ_20240112_20240105_greeks.parquet,4490161,1234446099fc4443452278eb2365118367ac1fe2c46b261a0628e14ef51bf1bf
876aefd267bc465d0e2b0470,QQQ,20240105,back,20240112,iv,D:\ThetaData\data_options\QQQ\iv\2024\01\QQQ_20240112_20240105_iv.parquet,1635013,a0276ffa9d70d4a1e1cb141bee0c1ce3e7744cce60db931f20e398c101ce6f33
40ec347513fac2b14ef6d631,QQQ,20240105,front,20240105,greeks,D:\ThetaData\data_options\QQQ\greeks\2024\01\QQQ_20240105_20240105_greeks.parquet,2857657,14257d2990f140a882d3bd91418c73f8dd56dfc058d560e8b74eeff8df1c75f1
40ec347513fac2b14ef6d631,QQQ,20240105,front,20240105,iv,D:\ThetaData\data_options\QQQ\iv\2024\01\QQQ_20240105_20240105_iv.parquet,1864217,b5b18971ab0958956ed23bd316fea49885561f0eede6c2098f4d263aa74f27b9
419c7e713ee452452c3e608c,QQQ,20240108,back,20240112,greeks,D:\ThetaData\data_options\QQQ\greeks\2024\01\QQQ_20240112_20240108_greeks.parquet,4453033,dac809ca18be9288c6669494ad76fb805e8902647523919920fda24bb5f326d2
419c7e713ee452452c3e608c,QQQ,20240108,back,20240112,iv,D:\ThetaData\data_options\QQQ\iv\2024\01\QQQ_20240112_20240108_iv.parquet,1582599,2ff5e91bf868d8fb7118a9a2b4425cbf5fd09cc5ab74da3112b115b99e7f19ac
53dac7ee99253275e002cc68,QQQ,20240108,front,20240108,greeks,D:\ThetaData\data_options\QQQ\greeks\2024\01\QQQ_20240108_20240108_greeks.parquet,1911987,01b3997cfe1fbd4f0da0b4251d60ab00dab05cb8087cb8715119d8e6756cc1c0
