ticker,month,val_months,fit_rows,val_rows,test_rows,train_windows,val_windows,best_epoch,best_score,context_valid_rate,val_total,val_acc,val_trade_precision,val_rank_ratio,val_vis,val_straight
SPX,202601,"202510,202511,202512",62726,5056,1580,30172,2432,1,0.599721185863018,0.9367088675498962,0.5516132116317749,0.38075658679008484,0.3421908915042877,0.30756810307502747,0.39650100469589233,2.0230917930603027
SPX,202602,"202511,202512,202601",64543,4819,1501,31046,2318,1,0.5522322356700897,0.9367088675498962,0.5049404501914978,0.32053494453430176,0.290214478969574,0.3108328580856323,0.3756384253501892,2.0998635292053223
SPX,202603,"202512,202601,202602",66044,4819,1738,31768,2318,1,0.6185232028365135,0.9367088675498962,0.5594477653503418,0.38654011487960815,0.4252336323261261,0.2636982500553131,0.3891071081161499,2.0744049549102783
SPX,202604,"202601,202602,202603",67782,4819,1659,32604,2318,1,0.6470425203442574,0.9367088675498962,0.591509997844696,0.33045729994773865,0.32029950618743896,0.27786991000175476,0.49300217628479004,2.104884624481201
SPX,202605,"202602,202603,202604",69362,4898,1580,33364,2356,1,0.6672063954174519,0.9367088675498962,0.6010118722915649,0.367572158575058,0.3652445375919342,0.23522190749645233,0.43865543603897095,2.1070704460144043
SPX,202606,"202603,202604,202605",70863,4977,1659,34086,2394,1,0.6421921253204346,0.9367088675498962,0.5800118446350098,0.4181286692619324,0.42147552967071533,0.2512788772583008,0.33477115631103516,2.1001856327056885
SPY,202601,"202510,202511,202512",60356,5056,1580,29032,2432,1,0.6746579147875309,0.9367088675498962,0.6029391288757324,0.34703946113586426,0.3325917720794678,0.2131248563528061,0.4110097587108612,1.9547349214553833
SPY,202602,"202511,202512,202601",62173,4819,1501,29906,2318,3,0.6852636337280273,0.9367088675498962,0.6249635219573975,0.40897324681282043,0.38793694972991943,0.25879955291748047,0.2584522068500519,1.924467921257019
SPY,202603,"202512,202601,202602",63674,4819,1738,30628,2318,1,0.6547102443873882,0.9367088675498962,0.5886791944503784,0.40379637479782104,0.3942006230354309,0.23587580025196075,0.3560602366924286,1.9736642837524414
SPY,202604,"202601,202602,202603",65412,4819,1343,31464,2318,1,0.6693361215293407,0.9367088675498962,0.5983439683914185,0.3658326268196106,0.30405405163764954,0.21603138744831085,0.41848257184028625,2.038478374481201
SPY,202605,"202602,202603,202604",66992,4582,1422,32224,2204,1,0.6428559646010399,0.9367088675498962,0.5919545888900757,0.35435572266578674,0.3239145278930664,0.2963944971561432,0.4211862087249756,1.987431526184082
SPY,202606,"202603,202604,202605",68493,4503,1501,32946,2166,1,0.6591992303729057,0.9367088675498962,0.5906709432601929,0.3951985239982605,0.37452229857444763,0.22588685154914856,0.38768190145492554,2.0108983516693115
QQQ,202601,"202510,202511,202512",60356,5056,1580,29032,2432,1,0.6494352854788303,0.9367088675498962,0.5849956274032593,0.31990131735801697,0.2678571343421936,0.24224136769771576,0.366620272397995,1.9688583612442017
QQQ,202602,"202511,202512,202601",62173,4819,1501,29906,2318,1,0.6605693027377129,0.9367088675498962,0.5985105037689209,0.37920621037483215,0.3674911558628082,0.25176480412483215,0.37495917081832886,1.990826964378357
QQQ,202603,"202512,202601,202602",63674,4819,1738,30628,2318,1,0.5949305593967438,0.9367088675498962,0.5434272289276123,0.40767902135849,0.35175344347953796,0.2939866781234741,0.34728676080703735,2.028034210205078
QQQ,202604,"202601,202602,202603",65412,4819,1343,31464,2318,1,0.6115998849272728,0.9367088675498962,0.5589644312858582,0.27178603410720825,0.23313219845294952,0.28945818543434143,0.4027886390686035,2.037229299545288
QQQ,202605,"202602,202603,202604",66992,4582,1422,32224,2204,1,0.6872816272079945,0.9367088675498962,0.6138204336166382,0.31170597672462463,0.23844419419765472,0.2061552256345749,0.4033862352371216,2.0545654296875
QQQ,202606,"202603,202604,202605",68493,4503,1501,32946,2166,1,0.7168405279517174,0.9367088675498962,0.6402835249900818,0.3337950110435486,0.312953382730484,0.19377198815345764,0.3468673825263977,2.0134356021881104
