arm,month,model_path,model_sha256,test_transition_sha256,test_rows
adapted,202601,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\adapted\fold_model_artifacts\payoff_head_202601.pt,2EDCBAB69B8D8947836BB8885A97336B537B60094130EA022CD0AB6DFFD0EE62,FDBB7989201A83AE6A20226DCEA502AC844EB3844FDEDCA724AE0CCE258D7A60,1608
adapted,202602,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\adapted\fold_model_artifacts\payoff_head_202602.pt,9E83AB51EA6C713C36DF2E7B513519C9BF77DDCD60E5D3180992EFF4BA2965DF,37F077AE7A14885FFE470FE6822EB57673797C02911AC11E24F37557FEC1AFD4,1109
adapted,202603,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\adapted\fold_model_artifacts\payoff_head_202603.pt,87D39F713179F9EBB09704AF54DD6A0416B2C8C6C7C9F5937869D346B8A76B5C,091FBD7DBE5C5A7FF11F8EF02E82D09C7D1C24ECBFC394ED6C41FA6B8A470958,1380
adapted,202604,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\adapted\fold_model_artifacts\payoff_head_202604.pt,BC5894CEDB92B2258CBF78E4EC8A222F494A20CEFD596E3B75D1EAA31602623A,15DCC33B07F1F1201453FF97C2335C672A4EE3DD0AA3B21BB026B3CD2D391C71,1553
adapted,202605,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\adapted\fold_model_artifacts\payoff_head_202605.pt,0E077FDC58358802A3B5BAEBC7D70D71F883225FDFE298C880439A5AE9528199,014559B5EBC96DCF9CDAE1CB8D7DB3C84E0A20334381E8A44F9EED867BB8F31E,1635
frozen,202601,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_model_artifacts\payoff_head_202601.pt,3D545A336B5253454EDAD322530B2D09DAC9DC2371A8D6195FBF1F7BDF899C77,FDBB7989201A83AE6A20226DCEA502AC844EB3844FDEDCA724AE0CCE258D7A60,1608
frozen,202602,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_model_artifacts\payoff_head_202602.pt,0F0C90CE3719FCC1A43EEB894FEAED59B9A99FE0CDEBD803E5F173DEF50A689D,37F077AE7A14885FFE470FE6822EB57673797C02911AC11E24F37557FEC1AFD4,1109
frozen,202603,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_model_artifacts\payoff_head_202603.pt,42C5EF3A3F91C94848FF5A45D8886EC3C4DBC8A75BAE3A406B9AF9D825DB70F3,091FBD7DBE5C5A7FF11F8EF02E82D09C7D1C24ECBFC394ED6C41FA6B8A470958,1380
frozen,202604,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_model_artifacts\payoff_head_202604.pt,6BD189A77741B067065778D3840635BE5F44ABA99D30733D1090D2FE5D93CAC0,15DCC33B07F1F1201453FF97C2335C672A4EE3DD0AA3B21BB026B3CD2D391C71,1553
frozen,202605,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_model_artifacts\payoff_head_202605.pt,81D25DECCFE1E7825BBE38A96BCF23A9038F4E6E4C3524A5BF92BAAF3CF18EE5,014559B5EBC96DCF9CDAE1CB8D7DB3C84E0A20334381E8A44F9EED867BB8F31E,1635
